reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
17|17|18|19|20|29|29|44|,0,0,0,1,0,0
17|17|18|19|26|28|29|44|,0,0,0,1,0,0
17|17|18|19|27|28|,1,0,0,0,0,0
17|17|18|19|27|28|29|29|44|44|,0,0,0,0,1,0
17|17|18|19|27|29|3|3|44|,0,0,0,0,1,0
17|17|18|19|27|29|3|44|,0,1,0,0,0,0
17|17|18|19|27|29|41|44|,0,1,0,0,0,0
17|17|18|19|28|,1,0,0,0,0,0
17|17|18|19|28|29|29|29|44|44|,0,0,0,0,1,0
17|17|18|19|28|29|29|44|44|59|,0,0,0,0,1,0
17|17|18|19|28|29|3|44|,1,0,0,0,0,0
17|17|18|19|28|29|44|,0,1,0,0,0,0
17|17|18|19|28|29|44|44|,1,0,0,0,0,0
17|17|18|19|28|39|44|44|44|,1,0,0,0,0,0
17|17|18|19|28|3|39|44|44|,1,0,0,0,0,0
17|17|18|19|28|44|44|44|,1,0,0,0,0,0
17|17|18|19|37|44|,1,0,0,0,0,0
17|17|18|19|39|44|57|,0,0,0,1,0,0
17|17|18|19|39|44|8|,0,0,0,1,0,0
17|17|18|19|3|37|,1,0,0,0,0,0
17|17|18|20|20|29|29|44|,0,0,0,1,0,0
17|17|18|20|26|28|29|44|,0,0,0,1,0,0
17|17|18|20|28|29|3|44|,1,0,0,0,0,0
17|17|18|20|28|29|44|44|,1,0,0,0,0,0
17|17|18|20|28|39|44|44|44|,1,0,0,0,0,0
17|17|18|20|28|3|39|44|44|,1,0,0,0,0,0
17|17|18|20|37|44|,1,0,0,0,0,0
17|17|18|20|3|37|,1,0,0,0,0,0
17|17|18|22|44|,0,0,0,0,1,0
17|17|18|22|44|44|,1,0,0,0,0,0
17|17|18|25|26|28|29|44|,0,0,0,1,0,0
17|17|18|25|28|29|3|44|,1,0,0,0,0,0
17|17|18|25|28|29|44|44|,1,0,0,0,0,0
17|17|18|26|26|26|26|28|29|44|44|,1,0,0,0,0,0
17|17|18|26|26|26|29|29|44|44|,1,0,0,0,0,0
17|17|18|26|26|27|28|29|44|,0,0,0,1,0,0
17|17|18|26|26|27|28|44|,0,0,0,0,1,0
17|17|18|26|26|28|29|29|44|,0,0,0,1,0,0
17|17|18|26|44|,0,0,0,0,1,0
17|17|18|26|44|44|,1,0,0,0,0,0
17|17|18|27|28|29|,1,0,0,0,0,0
17|17|18|27|28|29|39|,0,0,0,1,0,0
17|17|18|27|28|3|44|,0,0,0,1,0,0
17|17|18|27|28|44|44|,0,0,0,1,0,0
17|17|18|27|28|4|44|,0,0,0,1,0,0
17|17|18|27|29|3|41|44|,0,1,0,0,0,0
17|17|18|27|29|41|41|44|,0,1,0,0,0,0
17|17|18|28|29|29|39|,0,0,0,1,0,0
17|17|18|28|29|29|44|44|44|,1,0,0,0,0,0
17|17|18|28|29|39|44|44|,0,0,0,0,1,0
17|17|18|28|29|39|44|44|44|,0,0,1,0,0,0
17|17|18|28|29|39|8|,0,0,0,1,0,0
17|17|18|28|29|3|39|44|44|,0,0,1,0,0,0
17|17|18|28|29|3|3|39|44|,0,0,1,0,0,0
17|17|18|28|29|3|44|,0,0,0,1,0,0
17|17|18|28|29|44|44|,0,0,0,1,0,0
