EC1,EC2,EC3,EC4,EC5,EC6
1;19;29;44;44;58;,17;18;18;28;28;3;44;,3;57;,17;18;28;29;3;39;44;44;,17;17;22;22;44;,18;18;20;26;26;28;8;
1;19;29;4;44;44;,17;18;18;28;28;3;8;,17;17;29;29;44;,17;18;28;29;3;39;44;5;,17;19;22;22;44;,18;19;26;26;26;28;3;
1;1;17;29;44;44;,17;18;18;28;28;44;44;,17;18;29;29;44;,17;18;28;29;3;3;39;44;,17;20;22;22;44;,18;19;26;26;26;28;44;
1;1;19;29;44;44;,17;18;18;28;28;44;8;,17;19;29;29;44;,17;18;28;29;3;3;40;44;,17;22;22;25;44;,18;19;26;26;26;28;8;
1;1;25;29;44;44;,17;18;26;28;28;3;44;,17;20;29;29;44;,17;18;28;29;3;40;44;44;,17;22;22;44;44;,18;20;26;26;26;28;3;
1;25;29;3;44;44;,17;18;26;28;28;3;8;,18;19;29;29;44;,17;18;28;29;3;40;44;5;,19;19;22;22;44;,18;20;26;26;26;28;44;
1;25;29;44;44;44;,17;18;26;28;28;44;44;,18;20;29;29;44;,17;18;28;29;40;44;44;44;,19;20;22;22;44;,18;20;26;26;26;28;8;
1;25;29;44;44;46;,17;18;26;28;28;44;8;,19;19;29;29;44;,17;18;28;29;40;44;44;5;,19;22;22;25;44;,17;18;18;18;28;3;44;
1;25;29;44;44;58;,17;26;26;28;28;3;44;,19;20;29;29;44;,17;18;28;29;40;44;5;5;,19;22;22;44;44;,17;18;18;18;28;44;44;
1;25;29;4;44;44;,17;26;26;28;28;3;8;,20;20;29;29;44;,18;19;28;29;39;44;44;44;,18;20;20;28;,17;18;18;18;28;44;8;
25;29;3;3;44;44;,17;26;26;28;28;44;44;,17;17;27;,18;19;28;29;39;44;44;5;,20;20;20;27;,17;18;18;26;28;3;44;
25;29;3;44;44;44;,17;26;26;28;28;44;8;,17;18;27;,18;19;28;29;39;44;5;5;,18;18;26;27;3;3;3;3;44;,17;18;18;26;28;44;44;
25;29;3;44;44;46;,18;18;19;28;28;3;44;,17;19;27;,18;19;28;29;3;39;44;44;,18;26;26;27;3;3;3;3;44;,17;18;18;26;28;44;8;
25;29;3;44;44;58;,18;18;19;28;28;3;8;,17;20;27;,18;19;28;29;3;39;44;5;,17;19;20;27;3;3;3;3;44;,17;18;26;26;28;3;44;
25;29;3;4;44;44;,18;18;19;28;28;44;44;,18;19;27;,18;19;28;29;3;3;39;44;,19;20;20;27;3;3;3;3;44;,17;18;26;26;28;44;44;
25;29;44;44;44;44;,18;18;19;28;28;44;8;,18;20;27;,18;19;28;29;3;3;40;44;,18;18;19;26;28;29;3;44;44;5;,17;18;26;26;28;44;8;
25;29;44;44;44;46;,18;19;26;28;28;3;44;,19;19;27;,18;19;28;29;3;40;44;44;,18;18;19;26;28;29;3;4;44;44;,17;26;26;26;28;3;44;
25;29;44;44;44;58;,18;19;26;28;28;3;8;,19;20;27;,18;19;28;29;3;40;44;5;,19;19;19;26;26;26;26;44;44;,17;26;26;26;28;44;44;
25;29;44;44;46;46;,18;19;26;28;28;44;44;,20;20;27;,18;19;28;29;40;44;44;44;,18;28;3;3;44;,17;26;26;26;28;44;8;
25;29;44;44;46;58;,18;19;26;28;28;44;8;,26;28;29;,18;19;28;29;40;44;44;5;,18;3;3;3;44;,18;18;18;19;28;3;44;
25;29;44;44;58;58;,19;26;26;28;28;3;44;,18;28;31;,18;19;28;29;40;44;5;5;,26;28;3;3;44;,18;18;18;19;28;44;44;
25;29;4;44;44;44;,19;26;26;28;28;3;8;,18;28;34;,18;20;28;29;39;44;44;44;,26;3;3;3;44;,18;18;18;19;28;44;8;
25;29;4;44;44;46;,19;26;26;28;28;44;44;,18;28;39;,18;20;28;29;39;44;44;5;,17;27;3;3;44;,18;18;18;25;28;3;44;
25;29;4;44;44;58;,19;26;26;28;28;44;8;,26;28;31;,18;20;28;29;39;44;5;5;,17;3;3;3;44;,18;18;18;25;28;44;44;
25;29;4;4;44;44;,11;18;27;28;3;44;,26;28;34;,18;20;28;29;3;39;44;44;,19;27;3;3;44;,18;18;18;25;28;44;8;
17;18;28;44;,11;18;28;3;44;8;,26;28;39;,18;20;28;29;3;39;44;5;,19;3;3;3;44;,18;18;19;26;28;3;44;
18;19;28;44;,18;27;28;29;3;44;,3;44;,18;20;28;29;3;3;39;44;,18;18;25;3;44;,18;18;19;26;28;44;44;
18;25;28;44;,18;28;29;3;44;8;,44;5;,18;20;28;29;3;3;40;44;,18;25;26;3;44;,18;18;19;26;28;44;8;
17;17;18;28;29;29;44;44;44;,11;18;28;3;44;,18;28;39;5;,18;20;28;29;3;40;44;44;,17;17;19;3;44;,18;18;25;26;28;3;44;
17;18;19;28;29;29;44;44;44;,18;18;28;28;29;3;44;8;,18;28;3;39;,18;20;28;29;3;40;44;5;,17;19;20;3;44;,18;18;25;26;28;44;44;
17;18;20;28;29;29;44;44;44;,18;28;3;31;31;44;,18;28;28;29;3;3;3;3;31;44;44;5;5;,18;20;28;29;40;44;44;44;,18;28;3;3;4;44;,18;18;25;26;28;44;8;
27;29;3;3;3;3;3;,18;28;3;31;34;44;,18;28;28;29;3;3;3;3;39;44;44;5;5;,18;20;28;29;40;44;44;5;,26;28;3;3;4;44;,18;19;26;26;28;3;44;
29;29;3;3;3;3;3;44;44;,18;28;3;3;31;44;,18;28;28;29;3;3;3;3;3;31;44;44;5;,18;20;28;29;40;44;5;5;,17;27;3;3;4;44;,18;19;26;26;28;44;44;
28;3;3;3;3;3;3;44;,18;28;3;3;34;44;,18;28;28;29;3;3;3;3;3;39;44;44;5;,17;3;39;44;44;44;,19;27;3;3;4;44;,18;19;26;26;28;44;8;
